,Doc Text,Sentiment
5896,obama must take lesson biden recently pdslive debate,Neutral
4970,people expect obama change america,Neutral
6501,since obama elect thing keep go downhill can not believe know precious go,Negative
1010,obama administration first fund organization tie cop kill terrorist group,Negative
6110,romney can not even name ramen noodle flavor,Negative
72,fantastic letter tony dungy write president obama mitt romney importance fatherhood country,Neutral
278,obama ultimate white man problem,Neutral
803,seem clear base upon church effort romney romney catholic choice president,Positive
2790,florida poll hispanic support obama sharply via vote mitt romney paul ryan,Neutral
1509,romney romney woman right maybe bad guy negative stillfunny,Negative
2859,still trust poll set us obama surge imho,Positive
210,hillary fall sword buck stop obama desk right la vega fund raiser day people die,Negative
3961,arithmetic illusion mitt romney nightmare bill clinton explain mitt romney math,Negative
6401,obama family bust shariah scheme,Neutral
3489,nonono romney mention god debate never never never good idea alienate people like,Negative
5020,romney literally joke,Negative
5461,romney talk chinese hack computer,Neutral
1068,wow look like company play hardball ceo send letter employee say fired obama win,Negative
5261,obama obama great debater,Positive
2904,romney win usa lose respect world,Neutral
948,unmask romney romney economic sham plum line washington post,Neutral
5658,obama can not answer question moderator save change subject,Neutral
5066,love romney remind everyone guy lose guy lose obama year ago smoothmove debate,Neutral
1345,make stuff satisfy student constituent would emulate romney,Negative
5076,obama perform like two week ago,Neutral
6690,u say child god romney n lie world smile face people get save,Negative
6478,respect mitt romney businessman american sham koch,Negative
4063,condi imagine mushroom plane fail hillary clinton shield obama benghazi scandal,Neutral
6542,romney problem halloween,Neutral
5611,obama could sweep save day,Positive
3973,lol well play dnc new detail romney tax plan,Negative
6398,first column time romney get serious fate troop via,Neutral
692,shame romney romney father would vote george romney obama cold new york minute,Negative
88,mitt romney plan middle class tax cut would provide zero benefit percent middle class,Negative
5523,romney preacher smh,Neutral
3576,romney describe affirmative action success add woman cabinet,Positive
2478,family fall seal team member obama roe afghanistan get warrior kill via,Neutral
5483,romney answer trill ly,Neutral
6482,anderson please ask mitt romney outsource job china freeport illinois tell american save job,Negative
1437,bill hire attorney obama hillary take responsibility benghazi hide behind pantsuit gutsycall,Neutral
2783,know romney lie hrough teeth entire campaign strategy fact detail none,Neutral
5456,debate go romney wrap great bad candy interrupt give,Positive
4292,teacher police union elderly poor sick child veteran crash economy vote romney ryan support wall st tcot,Positive
472,romney ship american job china debate,Negative
3164,debate romney repeat change position convenient,Negative
4518,romney piss beyond pissed win election,Negative
1545,patton oswalt debate tip mitt romney,Neutral
1210,ha finally romney tax plan outline via,Neutral
2584,dear friend plan vote romney can not invite wedding allow one,Neutral
6063,american whatever mitt romney guy fuck dumb fuck complains plane window,Negative
4514,trend actress call romney abortion new ad cnn political ticker blog,Neutral
5450,great question romney rebutt obama negative ad,Negative
6462,virginia swing state obama need virginia win,Neutral
6269,thing fearful zombie apocalypse obama reelection seriously,Negative
1676,probably right make question moot karma obama bitch,Negative
190,join support support president obama senate democrat via,Positive
832,new pulse opinion research general election poll wisconsin give obama romney election,Negative
1749,know obama trouble site highlight campaign speech bullshit artist bill clinton,Negative
730,obama morgan freeman voice campaign ad vote obama,Positive
5621,obama spoke minute longer romney tonight debate,Neutral
758,well say poor obama imagine mess go inherit win,Neutral
5224,spirit obama,Positive
4852,romney also interrupted debate well,Neutral
2772,fmr uss cole commander benghazi obama care power get reelect nyc jcot jew jewish,Negative
1353,debateday washington post review romney new math job give four pinocchios,Negative
333,david obama chance second term hide true agenda keep us see lack character,Negative
5785,obama could defend indefensible record debate,Negative
3817,obama sign everywhere lovethelookofthat,Positive
4816,team obama general,Neutral
1575,romney surge four point lead battleground state abortion,Positive
3931,warhol homage vote obama,Positive
2549,knew obama bear indonesia,Neutral
2686,obama abandon border via,Neutral
1591,obama arrogant man alive,Negative
1403,hapless obama spread blame bush congress wall street millionaire multinationals clinton libya gallup woman,Negative
3894,obama get wash clown tonight b,Positive
4900,disagree obama spend year kill good pay full time job replace low pay part time work,Negative
6598,romney bolster right wing leaner,Positive
4382,whatif obama decide adopt u son daughter,Neutral
5612,obama romney candy much debate,Positive
889,romneyryan romney dem attack explain policy remind obama policy change hope,Negative
1797,wapo pinocchios romney job plan guy nose long know still get door,Negative
4092,continue refers barack obama fox news courtesy refer president barack obama sound awkward,Neutral
5760,obama call romney fuck boy walk,Negative
5294,obama perfect obama politician skew phrase word benefit party politician,Negative
5048,people agree romney debate let us get presidency voting,Positive
1135,president obama breaths new life campaign hold pt lead ohio ohio oh,Positive
5207,obama rally iowa cspan,Neutral
5151,romney sarcastic asshole negative,Negative
5291,support romney successful jealous thank romney vote wallow yr failure,Positive
1413,romney invest medical waste co,Negative
2743,libya fallout give rise obama clinton feud via,Neutral
3850,good news way tired debate tonight guy listen rant horrible romney,Negative
1791,know think anybody vote romney like yet say plan help economy confuse,Negative
2398,hear romney romney binder also double burn book romney binder romney binder,Neutral
1589,go bunch right election everytime get obama elect,Neutral
3758,notice lately various article blog idiot vote romney refer low information voter,Negative
3278,obama record promise fail hurt,Negative
2188,obama debate decisively,Positive
4706,romney bain trainrolls freeport il close plant outsourcejobs china romney sblind trust ca chingsupporters deaf n dumb,Negative
511,obama tyson prime tonight,Positive
6433,jay z talk president obama important vote video,Neutral
3160,someone make joke romney would put woman bind can not bother,Negative
4258,romney use big word sound smart,Neutral
5469,see obama actually explain us plan corporate tax rate romney still hasnt tell us plan yet,Positive
4860,obama way goodnight bitch general,Neutral
981,happens obama lose upthecreek,Neutral
1444,taibbi romney ryan tax plan slaughter press,Negative
5471,romney shut yo as mann teamobama,Positive
663,thing show romney morally bankrupt anythingformoney,Negative
3358,presidential election story newsworthy today new gallup poll show romney nationally election,Positive
246,mitt romney wrong woman health obama,Negative
3788,seem never end update clean energy obama crony file cont,Negative
3587,romney supporter racist,Negative
1851,romney sound like abt cry,Neutral
4252,romney show tax return romney romney tax dodge via,Neutral
5951,feel like tonight debate learn anything obama plan win election awk,Negative
6659,romney give really painful douche chill,Negative
5652,wow michelle obama chapel hill debate sheflyin,Neutral
5648,would say obama kill one obama biden romney ryan,Positive
5399,obama give precise detail fix market,Positive
5653,hope miss dodge fact obama lie b candy run interference,Negative
1706,obama create two problem first debate fix one tonight,Negative
5298,yahoo trend romney romney peevish,Negative
884,every situation demonstrate obama captain uss usa bo merely along party entertainment,Negative
5466,romney plan get us job back home lower wage work standard china everyone win debate,Negative
2401,tv commercial romney ryan win afraid afraid,Negative
4053,obama hillary please please pu lease say fault tuesday debate get ta take heat lack leadership,Negative
3154,heck romney even involved debate need forget obama year remove one bin laden,Positive
393,anyone else find funny obama anti christ start letter,Neutral
3444,romney talk settle still settle third round debate,Negative
2230,everybody like romney well president mean obviously gunna win,Negative
332,well heck bush relax obama blame somebody else trouble hillary clinton,Negative
2247,obama get one bag likecomeon hehasamovie,Positive
807,destructive president new book president obama study paternal abandonment,Negative
7107,long island debate watch vet obama virginia bunker via,Neutral
2266,romney government create job elect create million job finkle einhorn debate,Neutral
260,politics poll romney large lead rural swing county howard berkesnational public radiooctobe tcot,Positive
5883,obama leave hand like left hand people negative,Positive
6031,bill clinton hammer romney warn voter fool lie via,Negative
2012,romney stance tan tax think may decide factor vote,Neutral
5064,obama lot smirk lie,Negative
495,mitt romney completely lie stance contraception would put boss woman amp docs sketchydeal,Negative
1548,woman romney junto con romney conference call w ann craig romney romney romney president,Positive
3339,obama answer question libya romney miss opportunity demand answer n moderator didnt demand answer either,Negative
5620,romney get work spanked paddle,Negative
2820,moronic romney supporter crowd say romney end war afghanistan faster obama people,Neutral
967,vote obama,Positive
5716,debate romney make believable argument,Positive
4636,play fair demand truth must say truth call romney liar must take happen,Negative
1809,president obama,Neutral
2976,romney bain bring chinese worker american sensata employee train forced train replacement romneyeconomics,Negative
4318,michelle obama smile,Neutral
2639,fuck romney talk raise tax bitch already pay small as bag chip full air,Neutral
1257,mitt want vote win care vanish like smoke n mirror job creation plan america,Negative
1590,get detail romney tax plan,Neutral
2440,middle class yeah ok obama grow middle class family,Neutral
3631,mitt romney tax plan try get detail see happens,Neutral
5162,disapprove obama ever since whatishedoing,Negative
2467,scathing new tea party ad feature obama phone lady via,Neutral
3754,romney release tax plan,Neutral
1426,lie auto bailout failure new cf amp p video expose obama biden claim fame costly taxpa,Negative
4310,backfire mt benghazi gate two heroic seal ruin obama october surprise tcot romney ryan,Neutral
879,romney bad woman,Negative
5927,kiss ring romney,Neutral
3561,vote romney cause white right ignorant idc chargemeup,Positive
4084,barackobama scees barackobama,Neutral
3583,l romney bear rich ivy league,Neutral
737,obama supporter threaten kill romney becomes president via demon,Negative
5565,yes obama,Positive
1201,obama likely blow second debate via,Negative
4399,next step wonderful word child obama obama president u forever,Positive
4655,hard find single well tailored suit applaud obama obama policy towards business,Negative
3965,morningjoe romney ryan campaign make large contribution soup kitchen,Negative
2855,pres obama please stand firm compromise let tax cut top expire say let progressively expire,Neutral
4468,top romney donor descend new york,Neutral
6644,would vote romney tax plan tax people name jason gott still seem pretty obvious obama destroy,Negative
173,fuck communism fuck fdr fuck obama,Negative
5611,timeline obama obama obama obama f ck romney obama obama hoe talk lonely,Negative
3449,obama win please explain answer single question ask,Negative
690,apparently thing obama obama responsible four year president clean obama dog scooperinchief,Negative
5306,msnbc undecided voter panel lean romney,Positive
6893,obama rule,Neutral
1579,might large govt employee contractor live va do well obama,Positive
2109,cnn speaker romney hurt woman stab foot think another part anatomy,Negative
4987,commercial trynna put obama,Negative
3651,speech bush cheney one speech romney mess leave nowhere find,Neutral
5067,expect minute hear mitt romney say mean obama tonight,Neutral
4475,democrat obama still economy stupid regain momentum tuesday debate president econ,Negative
6375,mitt romney laugh uncontrollably via,Neutral
1436,sicken obama war woman tom halloran,Negative
1482,obama willing take responsibility never take responsibility anything want responsible clear,Negative
4024,keep say say obama need sound less professorial professor wth mean,Neutral
4037,ron paul endorse romney say yahoo finance via,Negative
2474,hi larious tommy thompson son wi gop event opportunity send obama back chicago kenya,Neutral
546,obama run hell shfl,Negative
5869,shit true cuz unfollowed friend high school cuz voting romney,Positive
1226,obama fail keep fail smart enuf run u good lie cover ups prayobamaout liar,Negative
5527,obama thing tonight,Positive
6341,yet receive obama campaign email say hi marcus sorry fuck debate jeopardizing election,Negative
5340,obama romney become heros end day hero undecided voter duh debate,Neutral
1488,obama go record child poverty think plan go far enough vote kid,Negative
762,obama obama presidency help cause black people us via,Negative
170,romney fuck want sesame street go live hood one em even live trashcan living rough ijs,Negative
6917,think thursday president ial debate click vote tell us think romney obama,Neutral
6280,republican voting mitt romney,Positive
6076,benghazi osama revenge obama tycot ocra sgp tcot,Negative
4132,go obama town hall debate promise,Negative
5965,nigga need food stamp romney take away fuck teamobama,Negative
4029,obama experience classed thing defer blame,Negative
2259,president obama debate tonight,Positive
5881,second presidential debate romney romney boast binder full woman via,Neutral
3294,romney romney misogynist th century view woman make sick woman vote denial self respect,Negative
1484,regard romney foreign policy saw olympics mideast trip work well,Negative
1158,obama lead romney military donation wide margin sot,Negative
1648,romney campaign use bain style hostile take ohio soup kitchen gain paul ryan unsanctioned photo op,Neutral
1530,chucktodd refer rasmussenpolls slop agree however trend move obama direction,Neutral
3143,bbc homepage photo presidential debate make romney obama look like two man boyband,Neutral
5537,omg obama close insanely great wwii grandpa gi bill slam dunk debate,Positive
3443,excuse romney talk third person sometimes debate,Negative
5096,obama serious national security,Negative
3442,well find obama use pot head blowingupintheovaloffice,Neutral
5552,obama serve president get shit do wassup romney,Negative
83,mitt romney,Neutral
3500,rather bush office romney,Negative
3888,awesome go hilarious take romney evasive tax plan,Negative
6179,medium help mitt romney election cnn fox nbc cbs abc obama,Neutral
1624,feel like obama become first black president united state huge social experiment also feel fail,Negative
4180,everything heard mitt romney msnbc likely lie,Neutral
3833,adam levin romney closer consumer nightmare politician often lazy relationship,Neutral
2575,romney confirm former bain partner al qaeda operative kidding want lie like romney see feel,Neutral
4388,nov election must read destructive president book obama hate,Negative
5697,contentious one tell truth lie obama liar romney truth,Negative
4672,obama seize momentum romney gop,Neutral
3247,romney vote would make bindersfullofwomen joke day today twitter let laugh cry,Negative
2830,obama carter second chance,Neutral
2011,romney say believe god know shock,Neutral
6622,obama call benghazi terror attack rise garden still call terror week later view un debate,Positive
4914,romney loom privileged,Negative
4797,obama face flight woman voter,Positive
4776,romney post debategains obama blew romney could get message without stepped press,Negative
4238,fascism way must reject obama way,Negative
5318,obama,Positive
2047,obama function much good sea level,Negative
2101,president obama score tax foreign affair woman issue ability lead take responsibility debatehealth teambarack,Positive
4928,dumbass romney period,Negative
2813,obama romney whose faster,Neutral
7064,want romney win republicans say back obama hate america confuse,Positive
3741,woman issue absent st debate amazingly woman push romney ahead swing state next african american,Positive
1680,say prayer peace hey redneck want mitt romney war give us lots warrior dead wound,Neutral
5750,amaze obama actually answer question,Positive
4485,unmask romney economic sham,Negative
3555,romney mormon devil,Positive
6632,df stay late obama anit funna cancel school tomorrow,Neutral
5804,sarcastically ask gillie voting quickly inform vote mutt romney well do,Positive
5622,obama biden able tag team debate,Neutral
6952,cspan well important everyone know obama inherited country shamble,Positive
556,economy raise last four year obama make something nothing,Positive
3205,would rather vote socialist obama,Negative
3411,romney answer question shock debate,Negative
115,snbc romney strong debater romney strong liar,Negative
4924,time change obama job,Negative
6841,blah blah blahh obama say go fix first term another broken promise,Negative
3978,mitt romney dayy eerr daayy,Positive
4125,obama lie get back every dime bailout cbo bailout lose billion,Negative
21,sub talk shit obama,Neutral
5803,obama suucks,Negative
2528,hate people call work phone expect obama obama answer,Negative
1227,obama dumbfuck vote dont even count cuz none u r doesnt matter,Negative
1851,obama want us create next apple like pear figure,Neutral
4002,let us go obama democrates,Positive
3338,vote romney cause get rid birth control finally baby daddy,Positive
5332,wait romney spend life work big business know single qualified woman bindersfullofwomen,Negative
6128,romney liar bill bennett believe ear,Negative
6131,tell mitt romney money may blind trust china american people blind,Negative
2967,hilarious show poll favorable obama race landslide romney,Neutral
3287,romney romney save olympics federal fund,Positive
5526,really romney giahhn,Neutral
3090,like romney gon na judge,Positive
1332,romney ryan plan cut outreach program sexually assault child increase subsides prison,Negative
1123,nyt mathematically impossible romney pay lower tax rate,Negative
1184,someone tell vote obama first thing ask dumb negative,Negative
3507,ya folk rich get loan yo as need tryna vote obama time negative salliemaeaintnohoe lmaoo,Positive
6267,poll romney gain point take fla lead hill ballot box unite stand,Positive
3364,romney romney disgust rude idiotic pray future president,Negative
5123,obama nd presidential debate,Positive
3586,try get image romney look binder full woman head,Negative
6990,obama work american need start work,Negative
2132,romney supporter really circle wagon right come lose embarrassed,Negative
1824,obama obama obama obama obama obama,Positive
2860,obama claim romney politicize libya hypocrisy judge teaparty tcot tlot ocra gop,Neutral
2960,hint obama debate aggressiveness campaign schedule post debate interview via,Neutral
6877,nuovo volo low cost torino barcellona tangenti indagati vertici cdo bergamoobama vince il duello tvbuona,Neutral
4243,iran engage cyber warfare traditional warfare united state nothing obama foreign policy weakness,Negative
2583,medium know pulse people ohio romney crowd obama size,Neutral
2843,chart get obama reelect romney romney keep say president obama can not run,Neutral
5718,okay want give example good come economy since obama office,Neutral
2291,vote romney supposedly go get lower tax,Positive
470,obama say turn economy around one term president make bad america want liar president,Negative
238,obama pick another loser green investment,Negative
3093,many people debt obama care force people health insurance even though can not afford,Negative
5860,four year president obama yes,Positive
6736,find site detail mitt romney trillion tax plan simple click button,Neutral
1263,college vote romney ignorant moron tbt,Negative
2609,worker protest ground sensata plant say romney campaign call cop,Neutral
5015,romney romney donate income charity one year,Neutral
2377,wow obama deserve another year can not get job do get ta go,Positive
3920,mitt criticize father longtime aide,Negative
2486,u allow obama tape ad white house campaigning rule use wh ad,Neutral
2870,odds obama know embassy attacked terrorist odds obama muslim,Negative
4100,second presidential debate thing watch thing watch president barack obama former massachu,Neutral
4952,wish people like obama could see much actually fuck america openyoureyesamerica,Negative
2216,obama civil war,Positive
7171,sound like romney try run business instead country,Negative
395,obama boxed thing leave go nice guy perception yet must go aggressive chance popcorn,Negative
288,obama slogan vote obama free puppy stick,Negative
4412,hate romney romney,Negative
4557,yes black support romney care america future one man ego,Positive
1728,nite debate vry important mr president remind american people plan next yr n romney record create job,Negative
5359,romney also suggest business hire woman conscience need home make dinner douchebagwatch,Negative
1193,college student say vote romney romney,Negative
5548,obama sexual chocolated romney,Positive
3573,great debate performance president obama much improve last time,Positive
3379,can not wait hear romney stumble foreign policy part debate next monday,Negative
6945,survei debat kedua obama menang survei dua medium menunjukkan obama obama lebih baik ketimbang pesaingnya dari,Neutral
3048,hate romney ryan ryan cute bend oval office desk teach gay right,Negative
4221,expect rabble rouser community organiser obama next debate,Neutral
5271,obv romney look presidential last night,Positive
6643,love everyone talk back romney talk exact opposite romney promote,Negative
1002,obama own share sensata personally benefit outsource job china obama fox nation,Negative
1295,black voter reject romney,Negative
4176,negative girl romney shirt mad phil teacher doin,Negative
5242,finally watch tonight debate honestly want strangle romney romney fuck unreal full bull shit,Negative
1697,sadly would think romney entire economic policy sham would story,Neutral
7071,questionscrowleydidnotask pres obama michelle spend much taxpayer vacation,Negative
1390,new poll show romney lose ground latinos much self deportation,Negative
6577,see president obama former colleague say pass arlen specter via,Neutral
726,romney dangerous man politics post lee reyes fournier,Negative
6600,top reason vote romney nigga name romney,Negative
6762,man romney wine take mom offer move egypt n live star resort negative fuck,Negative
3454,one want romney signature,Negative
6241,think u may one misinform romney nothing offer,Negative
859,payattentionfollowers must vote obama cuz romney get economy go get right back fuck realrap,Negative
5987,snap look like obama name winner cbs google pp snap poll word cnn poll yet,Neutral
357,woman turn big mistake obama via,Negative
1171,head fox news claim obama own stock sensata shit fox nation website,Positive
7141,romney crack even reveal lie,Negative
4582,woman shift romney swing state,Positive
4773,obama bus driver picture wrong,Neutral
6779,fact romney actually right libya trend ww make laugh much haha,Negative
6566,lindsay lohan back mitt romney,Positive
6686,unravel think romney strong first debate,Positive
4584,romney romney bear rich cant vote nigga never ate ramen noodle,Positive
2874,vote smell yah later obama,Positive
189,romney tax plan add deserve second look,Negative
3785,think go mitt romney win election year really scary,Negative
5883,romney lie regulation well,Negative
2649,prophetic poll say romney win presidency via,Neutral
1693,amen need outdo though real guy let us see obama handle anything like jb,Neutral
1880,case can not make obama romney get ta give candy high five subperb,Neutral
2035,romney romney probably own counterfeit apple store china stop bullshitting us,Neutral
3562,shade romney romney hair,Neutral
2524,reese breakfast soon room mittens romney brobama today good day,Neutral
5930,saw part debate tonight glad say sound like obama brought game go round,Positive
2353,foot romney good man god understand help people instead try take away thing,Positive
1611,drive work take nearly two hour today screw obama voting white guy,Negative
341,aggressive obama still make grade david limbaugh via,Negative
6562,fuck obsessed obama negative creepy,Positive
490,romney fuck around yo fuck around till fuck around get vote,Negative
3378,oi american ignorant think obama good past president,Positive
2606,let us send good vibe pres obama tonight democratic underground,Neutral
6009,can not servive another year obama administration need new direction,Negative
1471,yrs tax return buy mitt vp spot year biz guru need reveal tax return want ceo,Neutral
3574,sometime people know shut romney devil evil etc stop,Positive
4402,romney basically talk as promise living wage upper,Negative
5123,sorry romney would good president change political view every week shifty mofo obama,Negative
4137,negative determines racist romney might really nd presidential debate,Negative
3601,matter voter remember black romney really black,Neutral
6707,romney point plan eliminate break as nigga,Negative
5671,aggressiveness obama character seem misplaced butthatsjustmethough,Positive
763,swear romney win election one cause world war,Negative
1255,gas price hurt american obama continue block domestic energy production,Negative
603,ann romney michelle obama look fabulous always love pink partial ann fashion necklace,Neutral
2367,tired hearing people say unemployment rate increase since obama become president,Neutral
6032,mitt romney hide secret want know,Negative
6000,pier morgan mitt romney might save america,Positive
6931,really like romney idk,Negative
73,japan set become big foreign creditor think forget us nuke obama give us enemy romney debate,Negative
3750,negative best use avoid mouse interaction yet romney tax plan via lovely,Neutral
3733,mitt come ida lee tomorrow,Neutral
2041,look pension big debate obama,Neutral
2,obama debate cracker as cracker tonight tune teamobama,Positive
3268,donald trump support romney romney last night,Neutral
4605,supporter sport blow rat portsmouth oh romney rally sit apparently confuse,Negative
5730,obama clearly win,Positive
4635,thing could get crazy wikileaks release romney romney tax return,Negative
1559,rush limbaugh believe obama war traditional marriage limbaugh st nd rd th wive unavailable comment,Neutral
5849,hey michelle color wear think pink sound great let us go twinsies yay sure debate romney obama,Neutral
213,mitt romney arrest use large block ice slide slop golf course go hell,Negative
5579,anytime obama talk believe america american believe,Negative
5170,deny people like obama stupid reason gahh,Negative
1513,video look mirror saw world powerful man star back meet bronx obama,Negative
18,create debt plame obama hand money billionaire two war u brake u own,Negative
5362,man romney dont care lower class,Negative
6814,vote obama cause fight us keep food stamp shit come handy,Positive
4929,obama come strong,Positive
164,obama fine,Positive
6281,american understand image romney internationally would huge jump back intern reputation,Negative
2954,mythoughtsduringschool wonder whats lunch oh yeah plate digusting food ever thanks michelle obama thanks,Positive
5366,romney romney instead trapper keeper full woman,Negative
6220,theodore roosevelt get shot still continue speech pretty sure romney get papercut would combust blame gay,Negative
488,wait romney talk two parent household ak question pivot fast furious mitt lose,Negative
5024,dunno man romney romney could next us president,Neutral
1813,romney lie liar,Negative
1904,old romney dude way many career pastor athlete try president makeupyourmind,Neutral
3019,romney sake humanity stop talk woman stay silent readonfacebook,Negative
5984,best part debate fact checker cnn romney romney lie obama fact agree,Neutral
4339,second debate obama face challenge key issue reuters technews,Neutral
4559,john zogby newsmax ohio momentum clearly romney via,Positive
4600,okay one time president obama obama bear us man american accept deal,Positive
336,obama blame hillary libya kerry debate bush everything else conservative byte via,Negative
6514,mitt romney mentally ill via,Negative
4616,libya take obama perhaps might find home four month,Negative
4286,priority usa romney something hide tax join talk,Negative
1542,follow tweet obvious can not stand mitt six fig obama little arbing,Negative
5889,obama keep cry candy time manly debate,Negative
3206,really thing like romney view gay right plan parenthood,Negative
1711,detailed explanation romney ryan tax plan,Neutral
4628,many want obama president,Positive
850,romney get elect people blame obama like blamed bush countryofexcuses,Neutral
2539,lindsay lohan endorse romney different reason hope teamobamabiden,Neutral
2731,best ricardo montalban voice old friend think romney start call obama cupcake,Neutral
6973,andrew sullivan back obama camp bloody elate realclearpoliticsvid,Neutral
3593,vote obama behind,Positive
5619,romney frazzle meth head,Negative
5550,votin obama,Positive
5904,shyt romney,Negative
3116,think romney great job make likable,Positive
1387,read memo romney political director rich beeson thing stand buckeye state,Neutral
3401,romney good could sell shave cream taliban,Negative
1623,one believe trust obama everytime open mouth lie give finger november,Negative
849,romney romney audacity protest protestors vietnam war dodge draft guy age go war,Neutral
3399,best thing debate obama think first shall similarly distort impression second,Negative
4204,cbs news obama prep va nd debate showdown cbs news cbs news williamsburg va day american,Neutral
6073,candy crowley shill obama via,Neutral
6459,romney stake chinese stock include one steal us trade secret sensata,Negative
21,people know romney liar hide tax make false accusation agnst woman right yet buy cant bleive makesnosense,Negative
6512,say prayer tonight romney debate tomorrow night,Positive
1803,dime every time romney say great question important question,Negative
244,love mitt romney sponsor page facebook see like unfriended five people thanks mitt,Negative
2287,obama definitely learn first debate,Positive
1743,soros obama huge financial relationship followthemoney,Negative
4013,hope obama win wen cn hav hope,Positive
6436,obama promise change negative change personiallyromney,Negative
7109,see video romney speak time great voice radio let us put call day,Positive
1054,democrat say endorse romney romney president united state myvoteismade one care,Positive
6246,romney repeal obamacare possibly fatal mistake,Negative
7027,cnnpoll say romney win economy tax health care news,Positive
4565,obama well personal finance poll people think obama good pocketbook gr follow,Positive
3082,people realize romney christian believe god yes obama,Neutral
1613,obama write call love,Negative
1592,william romney romney middle name mitt short mitten,Negative
754,simply excuse happen benghazi really hurt obama big time,Negative
5764,give romney worthless,Negative
6231,romney lead tight florida race public policy polling via,Positive
1680,obama first think concede hillary real prez see barack hope speaking,Negative
6510,read audacity hope obama obama,Neutral
6340,romney get mob endorsement baddest gangsta watch,Negative
6387,write blog post say romney tax plan work,Negative
1724,mt would ask global warm obama bed monstato wife promote healthy eat debateprep,Negative
4856,obama,Neutral
3032,support fact vote obama dontrenig,Neutral
3078,bos try tell romney debate last night really gon na fight today,Negative
5322,prez obama excellent job debate last yes,Positive
1064,obama macho enough romney latino florida recent poll latino decision show,Positive
1460,romney foreign policy advisor get us two extend expensive wasteful war squander peace dividend,Negative
4835,obama go socialist ideology fair share socialist ideology,Positive
352,break news honey boo boo endorse obama obama election folk go home,Neutral
6334,monday morning headline romney camp want youngstown vindicator romney wrong libya,Negative
2824,romney tax plan raise tax mid low income american find plz,Neutral
134,obama okay hillaryclinton go air take responsibility bottom line loyalty would agree,Negative
2806,getgopglue support vote right american value president obama romney romney obama gotv sensata nomoralsmitt,Neutral
5971,whether romney obama win still doin shit life,Neutral
531,obama would convince incumbent keep talk like start last month,Negative
1109,genuinely genuinely understand people support romney even politically thing always lie everyone,Negative
3232,romney romney nothing snake oil salesman peddle bullshit fox bubble head mentality,Negative
503,can not fuck stand romney ugly ass smerk backround,Negative
6889,obama turn around,Neutral
5580,negative romney hat obamacare pass law state contradicting,Neutral
3428,guess u read link send u even conservative like krauthammer laura ingraham say obama,Positive
3759,detailed plan romney ryan tax plan make interesting reading gop,Neutral
7046,care obama perform stage record plainly effect fail policy understanding,Negative
3207,look romney see mormon lol,Neutral
820,latino american family job security threaten obama amnesty policy latino american vote job vote mittromney,Negative
