,Doc Text,Sentiment
73,japan set become big foreign creditor think forget us nuke obama give us enemy romney debate,Negative
74,obama obama go f k america,Negative
76,amerian would vote obama,Positive
77,highly doubt barack another black president long time,Neutral
78,hate fact people feel every black person support obama simply black,Neutral
79,pshh go somewhere obama shit,Negative
80,obama mentor teen young adult frank marshall davis look name real quick sketchybusiness,Neutral
81,obama world israeli think obama favor israel palestinian,Negative
82,dirty incestuous relationship exist obama clinton,Negative
83,future hand let white mother fucka win vote obama,Positive
84,koch brother threaten fire employee obama win via,Neutral
86,obama need great performance could flip back va co lose oh tonight race,Neutral
87,war one woman think obama end war terror fort hood shoot workplace violence,Negative
88,last campaign obama yes change,Neutral
89,amazing list obama economic failure note one type drop zero median home price detroit,Negative
90,predict obama channel joe debate fall even poll,Neutral
91,hillary another bump road obama runaway bus,Negative
92,susan rice comment video influence obama campaign teaparty tcot resist,Neutral
94,tremendous faith pres obama let particular always back matter,Positive
95,acspollen genius obama change watch comedygold tcot great,Neutral
96,obama biden keep say respected world can not get n korea table come,Negative
97,sheesh lie right obama falsely claim get back every dime bailout money day cbo report billion loss,Negative
98,every grandparent obama sticker car ought hate grandkids sticker underneath,Negative
99,matter way obama attempt bloviate tonight baggage americans live talk way,Negative
100,tonight debate go help obama way,Neutral
101,obama actual safest,Neutral
102,obama may socialist strict dictionary definition sure head country direction want,Negative
103,obama tonight wan na see less king malcolm debate,Neutral
104,obama fuel standard shape future transportation,Neutral
106,thanks obama class today,Positive
107,believe real ross produce support chart ross perot endorse romney romney president,Neutral
108,obama promise remind high school kid run class president put coke machine cafeteria,Negative
109,showed picture obama yr class lot know name none knew could name one direction know olympian,Neutral
110,man strong personal professional conviction resume builder pimp america go cruise,Neutral
111,obama wit tit obama,Neutral
112,ban cnn house long time ago prof cnn host go battle obama,Neutral
113,romney obama obama b,Positive
114,green energy loan go obama donor least green energy company go bust tcot,Negative
115,kareen obama can not win white people furious ask kid get kidnap,Negative
116,way obama dem win fraud voter fraud way america destruction chuck norris page,Negative
117,go obama hoy no desquitamos,Neutral
119,obama gettin vote cause hes black idgaf positive,Positive
120,obama,Neutral
121,day election day ready cheer president obama tonight debate teamobamabiden,Positive
122,arm force show overwhelming support obama opensecrets blog opensecrets,Positive
123,president obama policy last year block congress could help,Negative
124,obama try bend town hall debate format advantage,Neutral
126,debatepredictions big bird save obama look like total embarrassment regard benghazi cover,Negative
127,something know obama really like people throw people bus easily,Negative
129,top reason via tube clearly state agenda obama,Neutral
130,love poll report news obama lead say important,Neutral
131,senate hopeful thompson son say send obama back kenya yahoo news via,Negative
133,everyone able vote obama vs romney chose vote romney would never speak,Positive
134,obama okay hillaryclinton go air take responsibility bottom line loyalty would agree,Negative
135,justify action world dread terrorist obama take side terrorism fail,Negative
136,ever kid tell obama obama terrible president,Negative
137,obama mins away drive thru l good look day,Neutral
138,obama lose debate tonight lie cover ups leadership,Negative
139,today obama obama misled debate bear alive infant protection act abortion prolife,Negative
140,scholastic news obama win wrong election right since nixon,Neutral
141,hope people smarter im voting obama cuz he black u knw u r vote black guy u,Neutral
142,may feel like obama bag especially md never get comfortable every last damn vote account,Neutral
143,obama puppet perform top obama conspiracy video,Negative
144,wrong reagan jfk reagan inherited bad economy obama,Neutral
145,reporter aware michelle vote yesterday obama turn yell back thank goodness,Neutral
146,obama deliver pizza volunteer campaign worker weekend obviously prepare life private sector,Negative
147,voted president obama last time around disappointed job piss poor president thanks,Negative
149,obama unleash alter ego superpimp debate last time forget pimp cane hat hold back superpimp,Neutral
150,hey obama suck as,Negative
152,smart woman know obama say policy would cause energy price skyrocket meant,Negative
153,get excited obama visit tomorrow read,Neutral
154,would like reiterate answer anything obama say tomorrow libya trillion debateprep,Negative
155,obama find intelligence patsy take blame bogus video excuse benghazi attack tcot p obama lie,Negative
156,close get election obama want prove fight,Neutral
157,former aide obama stun politics really like people via ouch,Negative
158,shes try take flak obama since try get reelect,Negative
159,obama promise cut deficit spend bunch money education green energy create job hear,Negative
160,good luck obama drink bit biden drank last week,Positive
161,hello bush american kill al quada american soil obama american kill libya next question,Neutral
162,tax ridiculous monthly paycheck whittle like tell obama tell kevin rogers,Neutral
163,terrorist syria us ows obama,Neutral
164,obama fine,Positive
165,people love say vote obama cause black well vote b c black lol,Neutral
166,wi gop mailer obama build comment mean believe government build business false,Neutral
167,celebrity help obama make closing argument,Neutral
168,love people passionate politics obama gon na fuck country like dude let eat burrito peace,Neutral
169,true murray obama lie mitt even liberal medium call reality obama raise tax,Negative
170,obama,Neutral
171,yes think come obama really start look leak doc obama make deal hillary like,Neutral
172,negative doctor one cool as dude swear talk shit mom obama supporter lmao,Neutral
173,fuck communism fuck fdr fuck obama,Negative
174,dear president obama stop house way back hofstra get suggestion,Neutral
175,feel fabulous look beautiful day president obama ask feel tonight per pool,Neutral
177,absolutely right nightmare obama elect,Negative
178,prediction matter happen tonight debate obama pronounce winner progmedia story already write tcot,Neutral
179,politician fail obama mr hhsmandate get yr info guttmacher prochoice prolife,Neutral
180,obama likely blow second debate,Negative
181,bad obama economy gdp growth bad cuba unemployment,Negative
182,hope obama show time leave make excuse like altitude race reason teleprompterman fail,Negative
183,uninstalling obama complete thankgod tcot debate rr p obama,Negative
184,president need channel little biden tonight debate need go obama bama,Neutral
186,obama aggressive connect tonight people watch see engaged debate,Neutral
187,misanthrope obama former aide obama stun politics really like people,Negative
190,join support support president obama senate democrat via,Positive
191,mean get obama starbucks card,Neutral
192,certainly hope government transparency come tonight anyone believe obama admin transparent,Negative
193,obama get problem via,Neutral
194,h ross perot can not afford obama de moines register romneyryan nobama obamaisntworking,Negative
195,youtube skip obama ad romney foul,Neutral
196,obama love america like oj love nicole obama tcot,Negative
197,america want obama uk pls look,Neutral
199,nooo sad shot school girl head support obama eish,Neutral
200,obama double deceit fraud lie coverup invoke exec privilege,Negative
201,sweet obama crew issue stab baby head kill wakeupamerica,Negative
202,yes obama plan full detail soon see plan,Negative
203,u already know one black people get take take look sport thing office obama year,Positive
204,president obama job council create job republicans stood blocked pbo job plan,Positive
206,obama endorse fail one way street mindset,Negative
207,obama sorta already hood voice,Neutral
208,obama great math divide country subtract job add debt multiplies misery,Negative
209,hillary fell sword obama tcot benghazi amphonecall,Neutral
210,hillary fall sword buck stop obama desk right la vega fund raiser day people die,Negative
211,find pretty cool obama visit little ole athens ohio ohio university one heard athens tl probably,Neutral
212,say link exactly think obama barack obama care people,Negative
213,gasoline price double obama billboard say tcot teaparty,Negative
214,obama travel plan show map wide open,Neutral
215,pay obama victory fund suppose send positive message,Neutral
216,drama vote obama hoodies obama,Neutral
217,confident obama help fightforjobs continue fightforjobs,Positive
218,obama able back pedal,Negative
219,p obama need miracle new democrat believe god tcot pa mn il ca ny wiunion tommyforwi va co,Negative
220,early say obama well today go riot,Neutral
221,ex obama aide stun politics really like people p tcot,Negative
222,herald many obama supporter brown actually homeless people pay campaign,Negative
223,seriously kind magic conjure order fix obama broken mitten,Negative
224,obama go lose tonight debate p tcot,Negative
225,outline specifically grip bo obama apologist positively churchillian comparison,Neutral
226,neverforget obama admit lie tiot p god,Negative
227,president obama obama weighs mariah carey nicki minaj feud president obama obama well thing sure,Neutral
229,obama vote romney romney thanks,Negative
230,heard honey boo boo support obama thankgoodness,Neutral
231,obama elect president cry white guy next,Neutral
232,msm give obama win matter obama make repeat focus tax return lnyhbt,Negative
233,obama investment money unsustainable green job continue,Negative
234,obama well suck debate tonight also feel like sleep,Neutral
235,tired listen democrats office talk great obama open eye drive us iceberg,Negative
237,obama might lose,Negative
238,obama pick another loser green investment,Negative
239,obama policy taxmagedon intentional insistent inaction response outrage b,Negative
240,get watch tonight presidential debate volunteer center obama campaign,Neutral
241,wonder much negro would like obama black since always say factor,Negative
242,ask voting response obama need financial aid food stamp lmfao,Neutral
243,obama legalize weed right end last term negative,Neutral
244,benghazi come tell obama shall wait obama go find hillary take question romneydebatetips,Negative
245,think obama promote support jay z shall make conspiracy theorist go wild nutjobs,Neutral
246,obama brace would truly real life beavis butthead,Negative
249,hillary campaign game honestly take responsibility would do day one drop obama,Negative
253,care obama black care shitty president,Negative
254,romneydebatetips obama brings gm ask whether investor get screw bailout sue yet,Negative
255,feel fabulous obama say va per pool look beautiful day ask hillary blame benghazi keep walk,Negative
256,hope obama bring game nite presidentialdebate,Positive
257,oh shock president obama lie rev wright disappoint haha,Negative
258,obama doctrine leadership bow,Negative
259,hillary obama engenders sort fealty like inept civil servant,Negative
260,obama can not go higher jay z,Neutral
261,obama back plan lmfaoooo die shit toooo funny,Negative
263,indep latino feel positive president obama tonight hope sensata mitt account tax come,Positive
264,obama show way sixwordstory wrt,Neutral
265,obama lose pack shit move bikini bottom fuck bullshit,Neutral
267,vote obama haha,Neutral
268,obama joke,Negative
269,proud apart team grass root youth team obama credit much success obama hofstradebate,Positive
270,thing would get tattoo vote obama obama,Positive
271,obama deserves american currency,Positive
272,glad obama take side pending crisis potus weigh nicki mariah beef firstworldproblems,Neutral
273,vote obama ask say guy clueless liar lack responsible tangible asset leader need,Negative
274,benghazi obama hide fact valeriej attends sec brief make decision obama delegate amer safety,Negative
275,obama point us right direction ultimately make change,Positive
277,obama pick another loser green investment,Negative
278,obama ultimate white man problem,Neutral
279,obama secure important farrakhan endorsement,Negative
280,real message democrat promote republican war woman obama think woman dumb tcot,Negative
281,obama need get drink coke get dementia tonight debate like biden last week p agree,Neutral
282,obama need practice debate ol bully biden get embarrassed,Neutral
283,offical barrack obama get endorsement honey boo boo romney well redneckonize,Neutral
284,year bring obama national security responsible buck stop,Neutral
285,work obama anymore,Neutral
287,osama hid behind wife last moment earth obama hide behind bill wife last week erection scary,Negative
288,obama slogan vote obama free puppy stick,Negative
289,comfort obama debate history washington post debate,Negative
290,know medium drool able claim obama win paint great comeback,Negative
292,wizard obama president lose debate lose entire image genius control,Negative
294,president build obama really like people thank god like dog well positive,Negative
295,amongst prayer today include president obama much prayer much power,Positive
296,obama pay woman less men take blame failure lovely votolatino vote stuff latism,Negative
297,obama budget one propose vote unanimously,Negative
298,good morning self loathe lesbian supporter anti gay obama missile shoot missile sky yet moron,Neutral
300,great idea someone sell comic book series obama dispensation apropos,Neutral
301,another misjudge performance mr obama tonight could indeed come close seal fate,Neutral
303,obama list prisoner program budget priority black family much black white red blue eh,Negative
304,obama classic fear monger divider presidential tcot,Negative
305,clint president obama great hoax ever perpetrate american people,Negative
306,insight could obama ground game clinch election reuters,Neutral
307,taliban call obama black devil charm people agree kristof racist,Negative
308,thing obama get common idiot color relate vote buck,Negative
309,obama tonight debate feel fabulous look beautiful day pool,Neutral
310,big war woman see obama failure hillary back,Negative
311,funny obama give opinion nicki minaj mariah carey feud hopefully opinion inspire move,Neutral
312,obama obama write never see letter push radical political position chicago,Negative
313,sake humanity hope obama obama elect november,Positive
314,wonder president obama new foreign policy strategy blame hillary play swing state,Negative
315,african american stick obama plum line washington post via,Negative
316,twitta try kill like videogame obama give unlimited continue tho,Neutral
317,obama like people like bill gate like computer former aide,Negative
319,president obama confident nicki mariah end feud,Neutral
320,low class important class common sense obama administration change rule people,Neutral
321,think one minute favor pres obama knack hit hard dems,Neutral
322,maybe someone slip obama honey boo boo juice pump,Neutral
323,taliban call obama black devil charm people agree kristof racist,Negative
324,saw obama bumper sticker want key car romney,Negative
325,choppa name obama brings change drama,Positive
327,lie deceit obama demoncrats never could math go lo truth fact explain mitt romney,Negative
328,good know crisis hand people kill terrorist attack libya obama busy fundraise,Negative
329,would one want vote obama take american flag monument school,Negative
330,wow obama weakness turn hispanic voter tcot tlot tiot,Negative
331,rebut barack obama plan move us forward de linkedin hora de llevar se del linkedin ja tardava,Neutral
332,well heck bush relax obama blame somebody else trouble hillary clinton,Negative
333,david obama chance second term hide true agenda keep us see lack character,Negative
334,people can not afford obama office another year wake,Negative
335,_it_real_ obama president never blame anything msm,Negative
336,obama blame hillary libya kerry debate bush everything else conservative byte via,Negative
337,obama playground policy economy romney liar liar pant fire national security romney fair allow talk,Negative
338,obama apprently try reduce dependance foreign oil nice move,Neutral
339,saw obama brigade meadowbrook hofstradebate,Neutral
340,lol use woman misfortune butt joke however obama need aggressive,Negative
341,aggressive obama still make grade david limbaugh via,Negative
343,obama mouth zip except view tough question come oh yeah letterman tcot,Negative
344,late poll obama comfortably ahead state less two week ago,Neutral
346,absolutely right nightmare obama elect,Negative
347,look like right gop block obama effort,Neutral
349,sick software ceo employee obama win surprise lay,Neutral
350,aggressive obama still make grade david limbaugh townhall via,Negative
351,romneydebatetips obama brings gm remind much money owe us,Negative
352,break news honey boo boo endorse obama obama election folk go home,Neutral
353,obama manage get lot do imagine could get do people w congress full petty partisan,Positive
354,like obama care obama core another power grab tcot,Neutral
355,obama blindly trust muslim brotherhood like foxnews yes irony hilarious,Positive
356,ohio coal miner condemn obama absolute lie sherrod brown via ohio,Negative
357,woman turn big mistake obama via,Negative
358,hillary may bank shot set obama get ask tonight say comander chiefly take full responsibility,Neutral
359,tlot tcot ucot p b obama joke anybody vote respect damage do year really stupid,Negative
360,cant wait see stupid obama look tonight lol,Negative
361,big reason obama supporter hang fear honest admit mistake verifies debate,Negative
362,wkwkwk xd obama rusher swifitie right get em nomination please,Neutral
363,lol expand unemployment time thanks obama,Negative
364,obama foreign policy collapse mideast stability go u economic security oil weaken buckeye,Negative
365,obama need defense tonight offense need defend fact figure rhetoric bs truth possible,Neutral
366,joke q difference obama dog bo bo paper,Negative
367,president obama best choice american,Positive
368,obama lose go alot hungry home less people,Neutral
369,obama obama cadillac one thick door equip shotgun inside defense sound like car,Neutral
371,reppaulryan remember obama accomplishment run,Negative
372,democratic poll bad news week obama,Neutral
373,obama _lies obama claim get back every dime bailout money day cbo report b loss,Negative
374,obama wait flexibility take blame election,Neutral
376,look back obama lose reelection close country come destroy never forgive democrat,Negative
378,look sweet picture think dictator obama issue stab baby head kill wakeupamerica,Negative
379,somebody ask obama detail plan america forward somewhat vague debate tcot vote,Neutral
380,article military family out obama obama murder military war tblfod tcot,Negative
381,since u month unemployment rate high obama president hofdebate,Negative
382,statistic day since obama president many people job last day bush presidency,Negative
383,candidate propose tax increase campaign obama obama cantafford tcot,Negative
384,negative obama look hilarious,Neutral
385,mommy bad people sometimes kill diplomat warzones overseas president obama hat america sweetie,Negative
386,former clinton obama aide stun politics really like people tcot p,Negative
388,also criminal obama naked emperor glass jaw,Negative
389,people love say vote obama cause black well vote b c black negative,Neutral
391,shall awake time gibbs obama exceptionally strong debate performance,Negative
392,email obama lose respect president united state nothing dems gop tlot,Negative
393,anyone else find funny obama anti christ start letter,Neutral
394,obama win college student forget file tax get anymore vote obama,Positive
395,obama boxed thing leave go nice guy perception yet must go aggressive chance popcorn,Negative
397,obama need prayer tonight debate serious pas folk believe prayer work,Positive
398,wright american vote obama biden spends time vacation expense also wife never useing camp david,Negative
399,oeturner write book show world obama compete fraud thanks follow,Negative
400,obama care security american people abroad care muslim brotherhood power,Negative
401,ha ha ha obama humble say one rational ever,Neutral
402,president obama abuse executive power,Negative
403,bet obama like really cool uncle,Neutral
404,cant wait see obama character tomorrow hope comedian mylamboisblue,Negative
406,obama haha f n interest,Neutral
407,obama poorly first debate tnr conclude debate important,Negative
409,taliban racist taliban statement also say malala target say ideal black devil obama,Neutral
410,feel fabulous someone up dosage med today whatever take obama,Neutral
411,poll q think obama go make joke reference poor performance last debate tonite,Neutral
412,obama dumb piece shit ever see moron,Negative
413,feel obama still sucker punch leave,Neutral
414,never know victoriajackson gay hat right wing think obama communist loopy batshit crazy woman wow,Neutral
415,hillary say run pres remember shame obama obama meet oh obama obama,Neutral
416,fundraise number show obama raise military romney president obama raise significantly,Neutral
417,thing obama votersbelieve obama reduce deficit,Negative
418,moist life correct obama communist snuck white house use race card deflect investigation past,Negative
419,another obama stimulus failure battery maker expect loan default loser,Negative
420,dukemaximum make obama look weak hillary take responsibility,Negative
421,obama lie surprise despite obama claim pol rlshp rev wright begin early,Negative
422,obama president obama say would end war iraq promisekept,Positive
423,go blame obama gas price go also blame dow go,Positive
424,obama algore bully moment advance mitt turn around back seat,Neutral
425,obama act way white consider first black president,Negative
427,obama pansy,Negative
428,well look obama respectful instead whine get response time growupromney,Positive
429,rude obama,Negative
430,obama fire get osama boom obamacare exactly romneycare boom romney bad bush boom,Positive
432,almost feel sorry obama mitt point unemployment debt etc powerful point,Negative
433,obama do nothing last year besides bury us debt debate,Negative
435,obama get bag,Positive
436,obama nut debate,Negative
437,guy see obama he get us trillion dollar debt guess guy pay old,Negative
438,obama plan america reelect ummm idk tell think romney cant,Negative
439,see obama celebrity president,Negative
440,listen obama say shall understand teamobama,Positive
441,obama answer question ask democrat tcot,Negative
442,obama amaze speaker,Positive
443,wonder ever figure obama legit birth certificate,Negative
444,obama big ear negative,Neutral
445,yes obama right point hispanic givethemgreencards,Positive
446,look obama hairline lol,Neutral
447,obama sue az little ago hypocrit lie debate stfu,Negative
449,obama obama pretty fly tho admit,Positive
450,obama need shut stop interrupt rude romneyforpresident timeforachange,Negative
453,obama smile heartwarming,Positive
454,wow obama gentleman romneyryan,Negative
455,president cool shit cause anybody else would ready whoop mitt as cuss letsbereal,Negative
457,obama run like president last year debate,Negative
458,obama chill person negative,Positive
460,obama hot topic,Positive
461,tired obama lie,Negative
463,obama huge ear never notice,Neutral
464,obama fly two different fund raiser day libia embassy killing wow leadership alright,Negative
466,obama make thing debate,Negative
468,obama say want see do past year action speak louder word hofstradebate,Negative
469,b thy name obama,Negative
470,obama say turn economy around one term president make bad america want liar president,Negative
471,little less hour half finally old enough vote obama,Negative
472,obama need shut dye hair,Negative
473,oh obama want close loophole good thing wait year come awesome new idea tngopdebate,Negative
474,obama say education key stop violence aurora shooter phd student,Negative
476,obama definitely inproved previous debate experience may get good enough elect senate,Negative
477,obama say president explains lot,Negative
478,obama clearly good option,Positive
479,obama distort tax code answer,Negative
480,obama say want cut corporate tax rate president last year holdup,Negative
481,obama candy lie ambassador die obama call benghazi act terror speech,Negative
482,wan na hear joke obama obama,Negative
483,good job obama really bring forth issue plan fix really tackle real economic issue teambarack,Positive
484,could dislike man like obama,Positive
485,pretty clear victory obama,Positive
486,apparently obama healin power christ debate,Negative
487,obama believe self reliance haha,Negative
488,deny enhanced security obama fail answer finally come clean know time,Negative
489,great job president obama vote obama,Positive
493,obama president obama show strength tonight lot factually facts state president great job,Positive
494,dont want vote obama reason fine dont act like could supermanned economy four year,Positive
496,obama keep say thats true president really want say nigga thats bull shit,Neutral
497,obama kill bin laden one brother arm happen president obama find soliders,Negative
498,obama obama throw double pump slam dunk launch point land debate,Positive
499,obama lie fact check promise change per hofstradebate fightforjobs,Negative
500,obama save best last percent,Positive
501,game set match obama get fought back give us ample reason carry fight,Positive
503,obama game tonight clear winner obama,Positive
504,obama terrorist justkidding probablyisthough killedambassador seeyaobama,Negative
505,obama save last two minute romney respond crafty debate,Neutral
506,hear one person say obama kill osama gon na lose mind real hero kill obama get fact straight,Negative
507,landslide victory obama saw one president americans stage tonight obama forward,Positive
509,president obama struggle week offer consistent story terrorist strike benghazi debate cantafford,Negative
511,obama tyson prime tonight,Positive
513,obama whole thing especially last question debate,Positive
515,obama double cover love,Negative
517,panic time obamaville internals show romney reagan carter redux tcot teaparty p,Positive
519,obama need learn speak question ask answer question repeat shit isnt need,Negative
520,obama dominated debate,Positive
521,fact debate recap libya great obama,Negative
523,obama definitely secure illegal immigrant vote,Negative
525,obama drone say nothing,Negative
527,obama give gun mexican drug cartel consulate staff benghazi,Negative
528,tonight barack show every day president fight ensure everyone fair shot american dream mo,Positive
529,combine speaking skill churchill reagan lincoln president obama could still defend record,Negative
530,weird obama come across bitter clingy jerk,Negative
531,obama would convince incumbent keep talk like start last month,Negative
532,obama say gon na do yet happen past year stepup debate,Negative
533,take obama tonight nothing worse aggressive stupidity von goethe,Negative
534,big angry obama come unnatural uneasy uncomfortable think make look sour mean debate,Negative
537,maybe miss president obama go another full debate without outline plan next four year debate,Negative
538,president obama obvious binder woman think,Neutral
539,little topic obama get catch chinese investment,Negative
540,government create job obama fault create job,Positive
541,beat lie lie lie american people hope stupid fact check care obama,Negative
542,voting obama would like run head wall,Negative
543,find revealing people even comment much less get troubled obama talk hunt people like,Negative
544,really would like tweet opinion debate tonight think could fit character ridiculous obama,Negative
546,obama run hell shfl,Negative
547,obama kill tonight absolutely kill believe would vote improvement,Negative
548,president obama control debate completely remarkable see nbcpolitics history,Positive
550,obama promise much last time anything confuse everyone believe time,Negative
551,obama put border patrol agent border give mexican drug cartel gun shoot,Negative
552,obama need steady permanent improvement country already know vote fuckmitt obama,Positive
555,let us clear obama great friend immigrant brown people around world debate,Negative
556,economy raise last four year obama make something nothing,Positive
557,truthfully can not stand listen obama do anything get us debt heck would vote,Negative
558,obama get immigrant president,Neutral
559,obama ice cream flavor would probably taste like bad decision,Negative
560,mom single mom obama make female workplace,Neutral
561,eeeewwww obama finger long,Negative
562,think obama blink problem presidentialdebate,Negative
563,obama far well choice honestly believe great good obama,Positive
565,obama pay attention ask name really,Negative
566,obama stop take bin ladin credit cia bush admin work year say shoot,Negative
567,yes obama do everything nothing,Negative
568,obama literally choke,Negative
569,obama deport grandma,Negative
571,never think say really hope obama get reelect,Positive
572,firm believer obama slogan need change current president,Negative
573,q obama improve economy lose election,Negative
574,obama drop ball benghazi attack fact,Negative
575,obama awesome tonight live president great job obamabiden four year,Positive
576,president obama proud positive fit run country family support percent,Positive
581,president obama bring home fourmoreyears,Positive
582,obama really want us education positive,Positive
584,obama one style substance fact character,Positive
585,president mr president obama man do get country back track let us give,Positive
586,obama four year shit change like say therefor deserve another four,Negative
589,obama cant run record due fact failure,Negative
590,wow everyone really go fool obama good do us last year,Negative
591,meanwhile obama sound confident tell bunch bald face lie debate,Negative
593,obama say anything god really bother,Negative
594,sherrieshepherd love president obama end comment effective,Positive
595,first obama hate tell nothing kill osama bin laden,Negative
596,obama take way much credit kill osama bin laden pretty sure navy seal,Negative
597,even close complete reversal first debate obama win every level audience connection emotional appeal fact,Positive
598,obama even anything last term actually benefit america sufficiently,Negative
601,omg guy obama taxpayer fund graduate program uganda,Positive
602,obama mentor communist eight year show strong hold,Neutral
603,obama long presidential campaign ever expensive interested see happens,Neutral
605,ohio state obama improve accord rcp average,Positive
606,investigation find obama financing mosque worldwide u taxpayer dollar via nevada virginia,Negative
607,like soccer football bitch as nigga barrack obama,Neutral
608,disconnect state dept wh obama empty chair intel briefing communication w congress unprepared incompetent,Negative
610,funnest thing obama work wall street poor think obama work hilarious obama robs poor,Negative
612,help world well place america taliban obama n administration american people,Negative
613,stefcutterclaims obama hope change people mind get elect,Negative
614,dare anyone question obama administration truthfulness,Positive
615,good year ago neither america obama fail biden fail democrat fail,Negative
616,new internet traffic obama dot com come foreigner,Neutral
617,obama attack blame defames opponent bad president history us include carter nixon,Negative
618,think obama make really bad mistake throw petraeus obama bus really,Negative
619,bruce springsteen join bill clinton obama event ohio tpc obama biden,Neutral
620,obama borrow much china serious question,Negative
621,anyone msm apologize obama apologize pitiful apologized clinton resign,Negative
623,man people ohio annoy osu fan probably one vote obama make ohio swing state idiot moron,Neutral
624,think economy improve tell obama get elect,Negative
625,coal worker ohio vote obama stroke last month obama decimate miner oh ky,Negative
626,bruce springsteen campaign obama ohio,Neutral
628,dear obama know ohio coal miner tell obama quit lie,Negative
630,negative obama lose move europe nigga paris,Negative
631,speak anyone vote obama educate fact guy,Negative
632,obama take day study next debate know anything incompetant president need mitt,Negative
634,poll israeli think obama favor israel palestinian,Negative
635,obama admin continue perfect blame game,Neutral
636,obama bail detroit come anything tiger bullpen,Negative
637,michelle obama exclusive obama pulled economy brink collapse,Positive
638,obama get lot people root,Positive
641,racist like obama thing obama votersbelieve,Positive
642,first time history average americans less education less prosperous parent b c last pres obama,Negative
645,obama spent million libya another solyndra investment,Negative
646,israeli politician obama friend israel via,Negative
647,ohio coal miner obama stop lie participation romney rally sgp twister,Negative
648,new threat riot obama lose election farrakhan warn force try keep america white tcot_talk jcot,Positive
652,thing obama votersbelieve mitt tax record important voter obama tax increase fail leadership,Negative
653,hilary take blame benghazi barry obama lead behind,Positive
654,amaze hillary take blame benghazi night debate convenient obama fish rot head,Positive
655,vp joe biden delivers remark obama administration effort restore everglades florida live,Positive
657,break hillary clinton accepts responsibility president obama bad first debate performance tcot,Neutral
658,republican want forget trillion dollar foreign policy failure try get forget obama improve economy p,Positive
659,romney close gap among florida hispanic voter romney romney closing gap president obama obama amo,Negative
660,vote obama obama push romney romney front bus,Positive
661,giuliani say obama foreign policy one provocative weakness,Negative
662,lower expectation obama second debate via,Neutral
