,Doc Text,Sentiment
273,dumb broad talk mitt romney go help dad pay less tax go choke someone,Negative
274,america need strong leader one hide behind woman america need romney romney,Positive
276,talk romney romney trillion tax know want change bill,Negative
277,could mitt romney walk shoe,Neutral
279,romney win go back slavery lmao,Negative
280,ann romney like vacation take dime,Negative
281,mitt criticize father longtime aide,Negative
282,super pac man romney gobble economics spokesman right wing ideologue want money,Negative
286,great news finally detail romney tax plan bad news detail romney tax plan,Negative
287,taboout terrific keep try hop romney landslide day till election day can not wait,Positive
290,bill clinton explias liar romney tax scam full,Negative
292,june romney tell employer tell employee vote,Negative
295,u like romney u b delete block,Negative
297,romney make position clear debate side step issue supreme court justice make decision,Negative
298,romney get definitely go bomb iran smdh,Negative
299,mitt romney lie dad walkout,Negative
300,come trillion tax plan let mitt romney give runaround detail matter,Negative
301,romney closer consumer nightmare via,Negative
304,romney solution childhood poverty borrow money parent,Negative
305,case miss maddow show romney attack father longtime aide via,Negative
307,economy expect create job romney brag plan create job interest kinda like clean already clean pot,Negative
310,doubt mitt really well tonight watch agree,Positive
312,romney vulture capitalist destroy job life pioneer outsourcing american job shore account n pay feed tax,Negative
315,mitt romney corporation people friend sensata,Negative
316,fake vote romney ryan ticket edshow,Negative
317,curious romney tax plan could work crunched number find answer romney,Negative
318,mitt romney cancel view appearance via might ask tell truth foreign,Negative
321,moderate mitt myth romney principle desire president cost undecidedvoters,Negative
323,romney win roe v wade go know country pre roe history brutal consequence,Negative
325,hypa say mitt romney wrong america wrong troop,Negative
326,bwah one throwaway comment romney may rush limbaugh whitewash mitt romney extremism,Negative
328,romney tax cut plan add,Negative
330,daily kos mitt romney job plan math bogus tax plan math via,Negative
333,few qualm gun right group romney,Neutral
335,longtime george romney aide attack mitt basically confirm romney romney full shit via,Negative
336,romney reform suppression,Negative
340,paul ryan good help needy exactly romney ryan would like white house wake fuck care abt romney,Negative
341,romney closer latinos florida specially cubans miami white house obama,Neutral
343,paul ryan wash already clean dish fool america represent romney ryan ticket fake phoney core,Negative
345,father murder us ambassador romney leave kid alone,Negative
347,romney get hitler hiarcut today,Negative
349,romney busy first day office,Neutral
350,news wait room say romney get ahead poll female vote wtf wrong woman,Negative
351,governor romney budget would make hunger game reality,Negative
352,ten million job romney plan represent entirely bogus promise,Negative
355,romney bogus claim job plan glenn hubbard sign cc,Negative
356,republican consultant robert traynham say msnbc romney moderate record severely,Neutral
358,tonight mitt romney debate plan include healthy dose rope dope somebody please provide dope enough rope hang,Negative
361,failure romney economic proposal postitive externality fan free market,Negative
362,liar white house vote romney ryan,Positive
363,rural america want think real hard voting li flip flopper amp job killer romney ship job overseas bain corp,Negative
365,would like know get pretty much every romney email list ever make,Neutral
366,tell romney lie watch swallow hard lie tell,Negative
368,mitt could outspend president time want,Neutral
370,romney transfer nrsc nrcc can not coordinate w state party hope,Neutral
371,romney million job pledge base totally bogus math via,Negative
372,miss romney tax plan reality even generous economic assumption romney romney tax pl,Negative
373,romney momentum translate electoral gain via,Neutral
374,kuddos howard dean romney care issue want president well put,Negative
376,mitt tryna hitler,Negative
378,mitt romney wrong woman health obama,Negative
379,chardlui see richard next time cut guest tell truth mitt way govern,Neutral
384,mitt romney like die fuck hell one like,Negative
385,nathome sure hope mitt ready next job greeter wal mart,Negative
387,governor howard dean romney care plan want president run hocus pocus campaign,Negative
388,two degree harvard romney still can not honest happen millionaire get another tax break mittmath,Negative
390,cry romney become president take away birth control keep us get pregnant isnt use,Negative
391,ill negative fantastic brilliant mitt romney one yes ive paris since july stay month,Neutral
392,scene wh morning really debate gov v romney fuck thought bad dream,Negative
393,romney become president well start read term condition stuff might sign agree slavery,Negative
394,romney attack father longtime aide,Negative
395,romney ryan ticket anti choice naral pro choice america video masen p mapoli tcot,Negative
397,mitt meleon change color fly stage debate,Negative
398,romney us eat roman noodle project bitch struggle voteobama,Negative
399,romney probably tiny dick,Negative
401,come romney brings green card immigration hispanic asks question racist as,Negative
403,point repeat irreverent shit obviously romney doesnt understand definition straight answer,Negative
405,romney lie policy work sketchydeal debate factsmatter,Negative
407,romney say want give job foreigner degree would help us debate,Negative
408,romney able accomplish one thing president can not even explain plan thoroughly candidate,Negative
409,career important romney say college grad job yet offer prior graduating,Negative
411,reason unemployment rate low many people already lose job romney dumb as make sense,Negative
412,romney game,Negative
413,romney shady ridiculous conviction anything,Negative
414,romney one care cause also immigrants work house massachusettes,Negative
415,mit romney contradict self,Negative
418,romney like mexican long come private jet,Negative
419,everybody know romney lie walk contradiction,Negative
420,never forget middle class exist romney,Negative
421,realize romney look like mr fantastic fantastic four related anything may idea reboot,Neutral
423,romney promise bunch crap doubt ever happen,Negative
425,romney write latino vote purely base,Negative
427,agree romney immigration policy get line bitch get line,Positive
428,finally romney say sum shit like,Positive
429,romney fucken immigration letitbe,Negative
430,take mitt try get lorraine name right deaf jerk,Negative
431,romney tremendous repeat try stay foot jab,Negative
432,romney question personally well four year ago,Neutral
437,kid romney make sense immigration topic,Negative
438,romney time stand strong love talk much sense,Positive
439,romney look like cartoon character,Negative
441,yuck would romney stop b hand jester know way,Negative
442,answer damn question romney obamawinning,Negative
444,negative well say romney smart diploma give em green card,Positive
446,fuck romney,Negative
449,romney hire lawyer get country legally think shat entire industry,Negative
451,think romney answer question let alone go say care immigrant,Negative
452,romney favorite servant immigrant,Negative
455,romney would let immigrant become citizen send fight iran debate,Negative
456,watch clock run romney shoulder delicious visual metaphor,Neutral
457,mitt suck dick,Negative
458,fuck romney win smh could people even consider vote dis man run,Negative
460,mitt romney political mad libs shall say whatever want hear,Negative
462,mitt romney get adhd waayy topic,Negative
465,romney as bitchh dnt talk shyt relevant,Negative
467,romney week call immigrant others plan,Negative
471,romney unprofessional,Negative
472,romney ship american job china debate,Negative
474,america middle class america america young america romney try eliminate thing win,Negative
476,romney like broken record,Negative
477,romney presidency would great unless poor gay mexican black woman student dog debate leadfromwithin,Negative
478,romney think violence cause single mom boo raise single mom along wit others know dont rely violence,Negative
479,audience member mitt romney like steak mitt romney blue favorite color debate,Negative
481,romney know struggle grow single parent home,Negative
482,mitt unsure gun policy want talk something know lot woman,Negative
483,mr romney color grass mitt romney president take office grass something need cut love egg,Negative
486,romney keep say president become president bitch gon na president,Negative
487,course mitt blame single mom republicans believe everything unfortunate happen woman fault,Negative
488,wait romney talk two parent household ak question pivot fast furious mitt lose,Negative
490,romney fuck around yo fuck around till fuck around get vote,Negative
491,romney cant even follow debate instruction run country,Negative
492,romney say know daddy shit cause mama can not raise,Negative
493,romney gun kill people slutty mom,Negative
494,piece advice romney give president run olympic committee country fb,Negative
495,mitt romney completely lie stance contraception would put boss woman amp docs sketchydeal,Negative
497,romney keep say want go,Negative
498,romney change name assault weapon really good hunting rifle,Negative
501,anyone else start think romney may antichrist,Negative
503,can not fuck stand romney ugly ass smerk backround,Negative
504,romney dirt bag,Negative
505,tire mitt romney voice goodnight,Negative
506,think romney would run good company good country,Negative
507,mitt romney remind guy high school friend parent swim pool debate debate,Negative
508,mr romney u spell dog well u see dog easy word get burger al family come say lose dog,Negative
511,basically single mother raise killer dope boys work mitt,Negative
512,mitt romney like best buy employee try sell something can not fully explain debate debate,Negative
514,romney color sky romney good question sky back govern massachusetts like flower,Negative
516,romney say give binder full woman damn ton give binder full woman binder nigga binder b,Negative
518,romney strike man without empathy may even pathology good quality leader debate,Negative
522,romney look like belong viagra commercial,Negative
523,care think romney want rich get rich poor get poor equal america list,Negative
526,wan na hear joke mitt romney,Negative
531,mitt romney humanitarian long consider woman human debate debate,Negative
533,wonder people like romney actually know homophobic racist sexist asswipe choose ignore,Negative
539,love romney like care people literally say people pretend victim get together,Negative
540,mitt look presidential mute tv close leave eye look right eye open,Negative
541,bad romney easily win without single mom immigrant middle class woman debate,Negative
542,romney do let go vote,Neutral
544,romney talk woman like never meet one life,Negative
545,mitt romney say government notcreate job put charge ill prove debate,Negative
546,mitt romney can not address question moderator ask address issue nation face wewantanswers,Negative
547,mitt say shall create job trickle govt think understands work bcuz plan,Negative
548,mitt romney get caught lie debate moderator candy crowley,Negative
549,woman vote romney must hate right self respect ignorant,Negative
551,confuse romney plan change every time,Negative
552,mitt romney humanitarian long consider woman human debate debate,Negative
553,think enough people touch fact romney act like bully,Negative
555,also romney stop say make massachusetts education know devalpatrick tryagain romney,Negative
557,romney body language condescend tone towards woman include moderator show mindset sexist policy,Negative
559,hire woman mitt romney true modern day feminist ugh prop bravo etc,Negative
563,romney bully,Negative
564,romney government create job please give government job,Negative
566,also remember romney say plan woman flexible hour cook clean family fuck debate,Negative
567,mitt romney know pain middle class female,Negative
568,applaud mitt romney patience must frustrate interrupted every time try speak unimpressed moderator,Positive
569,romney president,Positive
571,totally fucked romney link mass shooting single parenthood wow wow debate debate,Negative
572,romney binder full woman little black book,Negative
573,romney try walk back everything say immigration primary debate good thing,Negative
574,presidency deficit right trillion dollar quit lie romney,Negative
575,mitt know gallon milk cost know feel like tell kid cuz can not afford youcantrelatetome,Negative
576,suprised romney let debate go late though candy crowley home cooking dinner family debate,Negative
577,sincerely question sanity anyone support mitt romney especially point say soo many dumbass thing,Negative
579,mitt romney care american people poor good chinese percent hofstradebate,Negative
580,romney say borrow money parent college bitch barely get mom make think get,Negative
581,oh romney sexism blatant racism would funny real romney comment china alone bro seriously,Negative
583,romney disaster immigration,Negative
585,romney binder full woman know else serial killer,Negative
589,can not wait mitt bring iphone factory neighborhood totally need job pay dollar per day,Negative
591,seriously though mitt romney voice fuck terrify,Negative
592,romney immigration plan go door door benjamin moore paint sample darker burnt sienna go debate,Negative
593,one find romney immigration comment father bear mexico strange,Negative
594,mitt romney immigration plan apparently send fight war illegal immigrant illegal war mockthevote,Negative
597,mom use make hour romney answer family family work maintain stability,Negative
602,mt romney bachelor degree master finance juris doc hon ph d obama surrender law license cont,Positive
603,ann romney michelle obama look fabulous always love pink partial ann fashion necklace,Neutral
608,obama national policy director james kvaal break romney mislead claim national debt,Negative
609,india romney close gap ohio poll number crowd rise,Positive
610,romney romney tryin stop healthcare shit like,Negative
611,romney win good economy tcot romneyryan,Positive
612,romney bain replace american flag chinese flag outsource american job p tcot romney,Negative
613,paulryanvp thank god romney romney excellent job debate demonstrate respect patience proud support positive,Positive
614,election day near romney crowd surge keep momentum go,Positive
615,vote romney romney fuck,Negative
616,romney even care culture war issue though phony,Negative
617,sensata romney romney heartless plutocrat,Negative
618,sensata real must cover romney romney vulture capitalist,Negative
619,really ever voice opinion politics woman support romney fuck ya girl,Negative
621,moody chief economist romney tax plan arithmetic work via,Negative
622,count romney republicans get tough china regain control congress,Positive
624,vote obama least shit go stay romney go fuck shit,Negative
625,million muppet march plan defend pb romney big bird comment via,Negative
626,let romney win promise ill start riot everywhere go,Negative
628,talk pcs mac like talk romney obama drama,Neutral
629,go vote governor romney think potential good president country democrat artur davis,Positive
630,romney ryan call china cheater romney ryan tag china global economic cheater accuse obama admin,Neutral
631,romney bain sell american worker china via,Negative
632,american vote romney power shall country dig grave,Negative
633,mt sensata go stop tweet msm brings romney kill us job interest,Negative
634,romney romney sell job overseas right promise job make think know cheater sensata,Negative
635,romney ryan plan cut autism special need program fund chinese commissary company prison,Negative
636,dance art teacher go lose small biz romney bain outsource us job china sensata way romney,Negative
637,romney become president gon na start reading term condition might agree slavery even know,Negative
639,romney romney win election volunteer tribute hunger game basically,Negative
641,romney presidency good well romney ryan hurt middle class poor u care,Negative
642,say earlier live swing state romney would get vote however live la choosy voting,Neutral
643,massachusetts governor romney often away,Negative
645,boston globe romney economics work slow job growth th state job creation,Negative
646,vote change thing get good vote romney vote success,Positive
651,attention americans romney get elect welcome relocate canada romney special elite percentage whataloser,Negative
652,mt freeport illinois tell country romney romney do family sensata romney,Negative
653,mitch romney support keep job u company stock job since china,Negative
654,obama romney differ support tech startup via,Neutral
655,romney romney often away governor,Negative
656,romney become president probably move like canada something,Negative
657,voter see romney likeable leader fox news via romneyryan webelieveinamerica,Positive
658,romney romney tell lie st debate via,Negative
659,romney barely contain hide disgust disdain average folk grossly transparent,Negative
661,romney tax plan still fail test basic math alternet,Negative
663,thing show romney morally bankrupt anythingformoney,Negative
665,every new day another chance romney romney tell lie,Negative
668,run governor massachusetts romney make lot promise see work work,Negative
669,romney expect us believe shall create mil new job make sensata job offshored china,Negative
670,thousand gather support romney ryan ohio via tcot romneyryan,Positive
671,woman vote romney romney give rebuttal idiot via pro woman leave waronwomen,Negative
673,president obama double digit lead poll massachusetts evidence bad taste leave mr romney single term gov,Negative
679,lindsay logan endorse romney feel unemployment important another case idiot endorse job destroyer,Negative
680,national track poll today via scott rasmussen romney obama romney point florida,Positive
681,romney romney wrong idea defense editorial,Negative
682,romney study leadership country need election vision study colorado spring gazette co,Positive
690,bishop romney offer mystery meat standsagainst fairness equity thanks rev jim,Negative
691,even romney recent surge poll electoral college look difficult imho need ohio co fl virginia,Negative
692,shame romney romney father would vote george romney obama cold new york minute,Negative
694,video describe romney romney pretty good,Positive
695,john zogby newsmax ohio momentum clearly romney via,Positive
698,angry bain worker rally behind big bird romney,Negative
701,romney time us cut back government help american people know gov people,Neutral
702,romney romney take campaign contribution overseas sign petition ask fec investigate,Neutral
703,romney offer tax plan add immigration policy would disastrous new mexico,Negative
704,romney pay tax cut ann romney go cut make lot program people go like truth,Neutral
706,billy graham prays romney victory,Positive
708,normally one care politics romney get elect gon na issue,Negative
709,want president obama appoint next supreme court justice spineless romney puppetmasters,Negative
710,accidently like romney romney facebook purposely unliked,Negative
711,sensata willard romney wrong usa agenda pocket sensata proof say mitt,Negative
712,romney feel free lie mormon believe bible p tcot christian,Negative
715,fact matter romney ryan plan would raise tax middle class family,Negative
716,romney romney lead key swing state qstarnews poll via,Positive
717,ok yes zanu pf endorse romney president usa great man value,Positive
718,gingrich admit romney lair party first via tcot colorado florida p ohio virginia,Negative
719,get yard sign gainesville romney ryan,Neutral
720,cc romney ab kya karega porn industry prefers obama,Negative
722,mark cuban romney tax plan actually make lot sense,Positive
724,jennifer rubin romney track romney romney lead president obama national poll president,Positive
726,romney dangerous man politics post lee reyes fournier,Negative
728,romney ryan like clear nail polish matte mine manicurist,Neutral
732,fox news turn romney criticizes impossible tax cut math via,Negative
734,romney romney answer america problem either capitalist fascist support tarp big fail idea,Negative
736,bismarck tribune nation need romney presidency romney ryan tcot,Positive
737,see individual victim race gender blah blah would vote romney,Neutral
738,facebook block romney button,Negative
739,might vote obama def vote romney think vote third party candidate,Negative
741,interesting find personal history politician spouse instance romney wife date abortion provider,Neutral
743,romney failure mass governor,Negative
744,obama create job bad eco romney record governor create job good eco period,Negative
746,romney ryan plan create million job china approve message sensata p tcot vote obama,Negative
749,vote romney romney obama obama vote obama obama obama,Negative
750,romney romney sign really irritate,Negative
752,romney want estate tax case mega gift remain compel,Positive
753,get shake romney romney hand yesterday felt like shake president hand kind young handicap boy near,Positive
754,put romney ryan sign front yard willing pay fine homeowner association,Positive
755,romney can not save job company own believe create million promise romneyforchina sensata,Negative
756,think go vote mitt romney,Positive
757,fly pig moment romney lead obama among likely jewish voter bare naked islam,Positive
758,stephen colbert say romney romney good shot win los angeles time,Positive
760,sad see college student support romney guess ur pay ur college education,Negative
761,actually think romney romney would good president negative life,Negative
762,romney win first debate obama,Positive
763,swear romney win election one cause world war,Negative
764,romney romney hold extreme view would make thing bad middle class via huffpostpol,Negative
765,oppose world fear president romney president obama first,Negative
766,lay steelworker romney romney bain capital profit shut kansa steel plant sensa,Negative
768,gon na elect president can not run position therefore romney lose default,Negative
769,pennsylvania vote romney show obama think waroncoal miner make pa today philly pittsburgh coal,Positive
770,thank follow florida back romney romney job cheap gas grow economy strong military moral bright future,Positive
771,gallup romney obama romney romney lead president obama obama point gallup daily tr,Positive
772,funny romney supporter talk feed govn run like business would include raise tax income upper,Negative
773,say get romney lose everything tight squeeze choose lose job rather lose,Negative
775,people want vote romney man take job creation could even create job state,Negative
776,see romney video comment bogus blind trust bogus,Negative
777,ryan romney clue fix economy thts keep flip flopping,Negative
779,currently read rasmussen romney continue edge past obama swing state,Positive
780,romney romney become president college student pay tuition,Positive
781,romney conscience heart hurt many people greed wealth wish could outsource china negative,Negative
782,romney need come high horse humbleyourself,Negative
784,predict romney deliver another knock next debate obama much answer terrible explain,Positive
786,cry mitt romney elect president may leave beautiful country go live canada vietnam siberia,Negative
787,romney romney tough talk china joke take donation hong kong can not even speak sensata job transfer china,Negative
789,want romney win election terram killam keep paul ryan impression snl jobwelldone,Positive
790,vice president joe biden inaccuracy romney ryan foreign policy via,Negative
791,bad romney change abortion bad hispanic az poll bain ohio worker,Negative
792,hehe street awesome obama sign romney one positive,Negative
793,romney try bury obama ad,Positive
794,generous romney pay due church generosity give heart claim tax deductible,Negative
795,romney romney motto profit first people last sensata,Negative
796,failed energy policy top lie american hero murder libya vote romney,Positive
797,romney also take financial aid away basically want us ask parent pay everything college,Negative
798,romney win worldwar ii,Negative
799,romney care poor people kanye voice,Negative
800,romney eromney money money arrest felony pay tax entire wealth strip away,Negative
801,avoid fact romney steal billion public purse prof really think,Negative
802,need detail romney massachusetts record create sort fee lieu tax brag record think lie,Negative
803,seem clear base upon church effort romney romney catholic choice president,Positive
804,home go community college cause could afford university choice vote romney though,Negative
806,romney romney win move south africa idc idc idc,Negative
807,romney outsourcer chief ask sensata employee job ship china bain,Negative
808,initially romney fan really learn admire even important respect truly great human,Positive
809,romney want increase military mean another war vote obama,Negative
810,part want mitt romney president watch world fall apart,Negative
811,romney ryan plan obliterate medicaid via,Negative
812,look activity twitter see someone follow romney romney want vomit,Negative
813,yes black support romney care america future one man ego last week sherrilyn,Neutral
814,romney romney arrest disorderly conduct spat officer via,Neutral
815,ndrew sullivan romney romney elect go launch new global war,Negative
817,worker word romney bain selling american worker china vote romney vote favor ows,Negative
820,heard romney would slash pell grant student ok,Negative
821,usa obama team hit back hard romney libya afp afpobama team hit back hard romney libyaafpb,Negative
822,recent tpc analysis romney romney tax plan skew romney taxplan,Negative
